treat	lictec2	motivation	barriers	consiglio_lictec2	stdmatIII	stditaIII	school	perc_participation_orient	perc_participation_calp	perc_participation	late	female	immigrato_prima_gen	stdinvalsiI	stdinvalsiI_2	province	educmother	occmother	educfather	occfather	citizenship
0	0	-.6953201	.0440856	0	-1.638013	-2.251021	127				0	0	0	-.2278622	.0519212	4	3	3	4	5	1
1	0	-.7880662	.0024993	0	-1.161179	-1.655241	67	.8461539	.6896552	.7380952	1	1	1	-.2787511	.0777022	3	3	3	3	2	4
0	0			0			55				0	1	1	1.798511	3.234641	3	4	5	4	5	4
0	0	-.4535407	.6939365	0	-.0883026	-.5629779	70				1	1	1	.6387628	.4080179	3	2	2	2	1	1
1	1	.2313396	.0988364	1	-.0883026	.7278786	12	.9230769	.8965517	.9047619	0	0	0	.5368193	.288175	2	1	4	1	1	4
0	1	.3154061	-.1722348	1	.0309059	.9264717	15				0	1	0	.4985733	.2485754	2	1	1	2	1	4
0	1			0	-.445928	.4299885	9				0	1	0	-.3616795	.1308121	2	1	3	2	2	2
0	1			1	-.0883026	.2313955	9				0	0	1	-.7503862	.5630794	2	2	2	2	2	4
0	1			1	.5077398	.7278786	20				0	1	0	.1544722	.0238617	2	2	2	2	2	4
1	1	.1976242	.0997322	1	.7461569	.1320989	24	1	.862069	.9047619	0	1	1	.504971	.2549957	2	2	3	1	2	4
1	1	.2536967	-.1683232	1	1.3422	1.621549	24	1	.8275862	.8809524	1	1	1	1.722082	2.965567	2	2	1	2	1	4
0	1	.509291	-.4394382	1	.3885313	-.4636813	16				0	1	1	.6769962	.4583238	2	1	3	1	2	4
0	1	.5405636	.5238083	1	.2693228	-.1657912	14				0	1	0	-.6994082	.4891719	2	4	3	4	1	3
0	1	.6636997	.0817074	1	.5077398	1.522252	1				0	1	0	.6196461	.3839613	2	3	4	3	4	2
0	1	.5726004	-.0509335	1	.1501142	-1.059461	1				0	1	1	-.1131619	.0128056	2	2	3	2	2	3
1	1	.618822	-.0059656	1	-.445928	.4299885	2	.9230769	.7586207	.8095238	0	1	1	.441274	.1947228	2	2	1	2	2	4
0	1			1	1.222991	.1320989	1				1	0	1	.0843776	.0071196	2	2	2	2	2	3
0	1	.0882811	.1035485	1	-1.757222	-.9601645	14				1	1	1	-.348935	.1217556	2	3	2	3	3	2
1	1	.5793844	-.2665024	0			2	.8461539	.8235294	.8333333	0	0	1	1.384238	1.916116	2	4	5	4	5	4
1	1	.2197852	-.1611968	1	.5077398	.5292856	2	1	.6470588	.8	0	1	1	.9127564	.8331243	2	2	2	2	2	3
1	1	.2495247	-.0357534	1	1.103783	.330692	2	.8461539	.0588235	.4	1	0	1	.9190011	.844563	2	4	1	4	1	3
1	1	.5849098	-.4420774	1	-.8035536	.4299885	2	1	.7586207	.8333333	0	1	0	.0144422	.0002086	2	3	3	3	1	3
0	1	.5491431	.2511868	1	.5077398	.1320989	1				1	1	1	-.2915847	.0850216	2	2	3	2	2	2
1	1	.4898562	-.2651356	0			2	1	1	1	0	1	1	.4665656	.2176835	2	4	5	4	5	2
1	1			1	1.222991	.6285821	24	0	0	0	1	0	1	1.256844	1.579658	2	3	3	2	2	4
0	1	.297466	.39783	0	.1501142	.4299885	16				0	0	0	-.3298183	.1087801	2	2	3	1	1	3
1	1	.5821837	-.355451	1	1.222991	.330692	24	.9230769	.9310345	.9285714	0	1	1	.7344673	.5394422	2	3	3	3	2	2
1	1	-.4188926	-.4070427	1	-.5651366	-.0664947	3	1	.9310345	.952381	0	0	0	.2948337	.0869269	2	2	2	1	2	3
0	1	.5724132	-.0449841	1	1.222991	1.025769	14				0	1	1	1.040214	1.082045	2	4	3	4	1	3
1	1	.4755667	-.4382611	1	-.9227622	-.2650878	3	1	.9310345	.952381	0	1	1	-.355562	.1264244	2	1	1	1	2	3
1	1			1	-.445928	.4299885	4	.6923077	0	.3	0	1	0	.8874651	.7875943	2	2	3	2	1	4
1	1	.6050107	-.0103568	1	.1501142	.330692	4	.8461539	.8275862	.8333333	0	1	1	.3647753	.133061	2	4	5	2	2	4
1	1			1	.8653655	.7278786	4	.6923077	0	.3	0	1	0	.9830104	.9663095	2	2	3	2	2	4
1	1	.5765176	-.1754053	1	1.580616	.9264717	10	1	.9655172	.9761904	0	1	0	.8871525	.7870395	2	3	3	2	1	3
1	1	.570945	-.44159	1	.3885313	.1320989	4	.9230769	.862069	.8809524	0	0	1	.511528	.2616609	2	2	2	3	2	4
1	1	.5682099	-.3546824	1			4	1	.6206896	.7380952	0	0	0	.5430641	.2949186	2	4	5	4	5	2
1	1	-.0089539	-.1549712	1	1.103783	.330692	10	1	.6896552	.7857143	0	0	0	.2564281	.0657554	2	2	3	1	1	2
0	1			1	.0309059	.5292856	13				0	0	0	-.011206	.0001256	2	1	1	2	4	4
0	1	.2846705	.322435	0	-.445928	-.2650878	13				0	0	1	.2118223	.0448687	2	4	3	4	2	2
0	1	.2438586	.1442923	0	.7461569	1.224362	17				0	1	0	1.275987	1.628142	2	2	1	3	4	2
1	1	.4057166	-.1756677	1	.6269484	.6285821	12	1	.8235294	.9	0	0	1	1.212194	1.469415	2	3	3	3	2	4
1	1	.6158991	-.3563468	1	.984574	1.224362	12	.8461539		.8461539	1	0	1	1.779222	3.165631	2	4	2	4	2	4
1	1	.6270735	-.2681669	1	1.461408	.8271752	12	1		1	0	1	0	1.505388	2.266192	2	3	3	3	4	2
1	1	.3124838	-.0793778	0	-.0883026	.0328019	12	.9230769	.7586207	.8095238	0	1	0	.0397335	.0015788	2	3	3	3	2	2
1	1	.6201577	-.0484084	1	.7461569	1.522252	8	.8461539	.862069	.8571429	0	1	1	-.463597	.2149222	2	1	1	4	5	4
1	1			1	.5077398	.5292856	7	0	0	0	0	1	0	.8172111	.667834	2	2	1	2	2	3
1	1	-.0510412	-.3313115	1	1.3422	.2313955	8	1	1	1	0	1	0	-.1448001	.0209671	2	3	1	3	2	3
1	1	.6802881	-.4454063	1	.2693228	-.7615712	18	.9230769	.8275862	.8571429	0	1	0	.0715821	.005124	2	2	2	2	2	4
0	1	.5821748	-.3551698	1	-1.399596	-.1657912	5				0	1	0	-.2533513	.0641869	2	3	4	1	1	2
0	1	.5557134	.0424108	1	.5077398	1.224362	25				1	1	1	1.161287	1.348587	2	2	3	2	2	3
0	1	.256496	-.2572717	0	.6269484	-.4636813	15				0	0	0	.5176898	.2680027	2	3	3	3	2	2
1	1	.6271466	-.2704891	1	1.222991	1.522252	18	.8461539	.8823529	.8666667	0	1	1	1.110404	1.232998	2	3	3	2	1	4
0	1			1	-.445928	.2313955	15				0	1	0	.7216019	.5207093	2	2	3	2	2	3
0	1	.2901917	.628979	1	.2693228	.7278786	15				0	1	0	1.51176	2.285418	2	2	2	2	2	4
1	1	.565475	-.2677748	0			2	.9230769	.5882353	.7333333	0	1	1	1.288693	1.66073	2	4	5	4	5	4
0	1	.4952334	.450518	1	1.103783	.5292856	21				1	1	1	.3583839	.128439	2	3	1	3	1	3
0	1	.5781258	-.2265085	1	1.461408	1.025769	13				0	0	0	1.479898	2.190099	2	3	1	3	1	3
0	1	.5993242	.6135972	1	.0309059	.330692	14				0	1	1	-.2278622	.0519212	2	2	2	2	2	4
1	1	.2508387	-.0775072	1	1.819033	1.522252	3	1	.8235294	.9	0	0	1	1.428889	2.041723	2	1	2	2	2	4
0	1			1	.6269484	.5292856	9				0	0	0	.4284785	.1835938	2	3	3	3	2	2
1	1	.2579081	-.3021444	1	.1501142	-.2650878	3	1	.8965517	.9285714	1	0	1	-.3680517	.135462	2	1	5	1	4	4
