"","treat","lictec2","motivation","barriers","consiglio_lictec2","stdmatIII","stditaIII","school","perc_participation_orient","perc_participation_calp","perc_participation","late","female","immigrato_prima_gen","stdinvalsiI","stdinvalsiI_2","province","educmother","occmother","educfather","occfather","citizenship","preds","sqrt","excesserror","debiasederror","mom_working_class","mom_high_class","mom_home","mom_unemp","mom_miss","dad_working_class","dad_high_class","dad_home","dad_unemp","dad_miss","mom_educ_uni","mom_educ_hs","mom_educ_lhs","mom_educ_mis","dad_educ_uni","dad_educ_hs","dad_educ_lhs","dad_educ_mis","std_cit_latin","std_cit_afric","std_cit_asia","std_cit_easteur","province_pd","province_bs","province_mi","province_to","province_ge"
"273",0,1,NA,NA,0,-1.280388,-0.6622744,"17",NA,NA,NA,0,0,0,-0.5910802,0.3493759,"2","2","2","2","5","2",-0.0538174389596659,0.0792855021030764,5.74351293782348e-07,0.0930854045119349,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"274",1,1,0.2494605,-0.0337125,0,0.1501142,-0.1657912,"12",1,0.5882353,0.7666667,0,0,1,0.7279105,0.5298536,"2","3","4","3","2","2",0.0730666213745418,0.0508024425622514,4.10604585116015e-07,0.0308705784891374,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
"275",1,1,-0.6325104,0.0439321,1,-0.5651366,-0.0664947,"12",1,0.7058824,0.8333333,0,1,1,0.6195632,0.3838586,"2","2","3","4","5","4",0.0380109324956785,0.0354897524101496,3.63515004208233e-07,0.00906046112003433,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
"276",0,1,-0.362764,-0.2336196,0,-1.041971,0.1320989,"13",NA,NA,NA,0,1,1,-0.2151179,0.0462757,"2","2","3","2","2","4",0.0840801831289065,0.0625371046898845,4.3859660610249e-07,0.0477403232658625,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
"277",1,1,-0.2754277,0.4618526,0,1.819033,0.1320989,"24",1,0.862069,0.9047619,0,0,0,0.5240179,0.2745947,"2","3","3","2","1","3",0.0684266719092783,0.0518347386714816,4.12293980141194e-07,0.0198566751705045,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"278",1,1,-0.2686437,0.2462837,0,-0.9227622,0.0328019,"7",1,0.9655172,0.9761904,0,0,1,0.1674397,0.0280361,"2","2","3","3","4","2",0.0775338427914611,0.0418424340230719,4.10857891284887e-07,0.0179363893658896,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
"279",0,1,NA,NA,1,1.222991,-1.158758,"20",NA,NA,NA,1,1,0,-0.4954966,0.2455169,"2","3","2","3","2","3",0.0335362798565388,0.071539939629851,6.34213147448868e-07,0.158623407262781,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
"280",0,1,-0.1238224,0.0244201,0,-0.6843451,-0.5629779,"21",NA,NA,NA,0,1,1,0.2755448,0.0759249,"2","3","3","3","2","3",0.114389760282236,0.0479634886312995,4.61656474551277e-07,0.0363233342761394,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
"281",0,1,-0.3819716,0.3767204,0,0.0309059,-1.258054,"25",NA,NA,NA,1,1,1,-0.3298183,0.1087801,"2","3","2","4","5","4",0.0869094185563917,0.0526561992124562,5.93193543337272e-07,0.241936769680448,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
"282",1,1,0.2495923,-0.0379021,1,1.580616,0.4299885,"18",0.9230769,0.8823529,0.9,0,1,1,1.027348,1.055445,"2","3","5","3","5","3",0.0500351055915192,0.0446627479437858,3.74623213776113e-07,0.0209675714468997,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
"283",0,1,-0.3179417,-0.1441869,1,0.7461569,-0.3643845,"21",NA,NA,NA,1,0,1,0.4284785,0.1835938,"2","3","3","3","2","3",0.0930757799007975,0.0547771239643785,4.79603610218903e-07,0.0579096381276156,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
"284",0,1,NA,NA,1,0.7461569,0.1320989,"9",NA,NA,NA,0,1,1,-0.2151179,0.0462757,"2","1","1","1","1","4",0.0934551473540472,0.0636898622085156,4.8821878938315e-07,0.0837988349800799,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"285",1,1,-0.0032966,-0.3347357,1,-0.3267197,0.2313955,"7",1,0.9655172,0.9761904,0,0,0,-0.3614947,0.1306784,"2","3","2","1","2","2",0.0787189258953874,0.0649276842128182,5.90063244853596e-07,0.147379336828968,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"286",1,1,0.570945,-0.44159,1,-0.445928,-0.0664947,"24",1,0.862069,0.9047619,0,1,0,0.6832599,0.4668441,"2","1","3","1","2","2",0.0621763480892188,0.0350540984222084,3.14301016957658e-07,0.0020661401223995,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"287",1,1,0.5344857,-0.3535054,0,-1.041971,-1.555945,"11",1,0.8965517,0.9285714,0,0,1,-0.406145,0.1649537,"2","1","3","4","2","3",0.0655469472357133,0.0523278004288631,5.83333862703807e-07,0.0573348314487188,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"288",1,1,0.3829762,0.1036718,0,-1.757222,-1.754538,"11",0.8461539,0.7241379,0.7619048,0,0,1,-1.222028,1.493352,"2","1","3","2","2","3",-0.0292523255485144,0.0847169106569563,9.36106046633325e-07,0.0862862592862509,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"289",0,1,-0.421683,-0.3183753,1,-0.6843451,-1.853834,"5",NA,NA,NA,0,0,1,0.2373114,0.0563167,"2","4","3","4","2","4",0.10371933717545,0.0453547707931288,4.72475290520636e-07,0.0680601446476812,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
